"row","country","prob","escs","math","reading","science"
"1","Albania",0.2,NA,NA,NA,NA
"2","Albania",0.4,NA,NA,NA,NA
"3","Albania",0.6,NA,NA,NA,NA
"4","Albania",0.8,NA,NA,NA,NA
"5","Albania",1,NA,NA,NA,NA
"6","United Arab Emirates",0.2,-0.34,382.6219,398.7088,397.9299
"7","United Arab Emirates",0.4,0.22,406.1458,419.638,422.1746
"8","United Arab Emirates",0.6,0.59,435.7454,451.1721,449.7762
"9","United Arab Emirates",0.8,0.97,457.6336,469.1223,475.3264
"10","United Arab Emirates",1,2.73,463.0083,475.0808,482.1335
"11","Argentina",0.2,-1.64,350.76335,352.1985,366.50505
"12","Argentina",0.4,-0.96,374.2094,386.5193,391.0295
"13","Argentina",0.6,-0.32,390.4113,404.6255,411.5442
"14","Argentina",0.8,0.49,413.4678,432.2301,437.0944
"15","Argentina",1,2.6,451.9473,468.7263,472.5289
"16","Australia",0.2,-0.56,438.9391,452.8401,456.6766
"17","Australia",0.4,0.05,470.7197,485.9613,495.6546
"18","Australia",0.6,0.51,491.8289,505.344,514.4909
"19","Australia",0.8,0.92,523.72645,535.04575,546.1954
"20","Australia",1,2.44,550.9503,559.3571,570.3469
"21","Austria",0.2,-0.61,457.1273,443.77815,456.72325
"22","Austria",0.4,-0.16,487.8564,476.3371,492.1112
"23","Austria",0.6,0.29,506.1614,494.1443,511.74
"24","Austria",0.8,0.85,531.4769,520.95745,532.67435
"25","Austria",1,2.6,559.5965,547.1754,562.1876
"26","Belgium",0.2,-0.68,471.5766,470.5631,467.5867
"27","Belgium",0.4,-0.08,492.9195,490.967,490.8989
"28","Belgium",0.6,0.52,525.2454,524.3736,522.1373
"29","Belgium",0.8,1.05,552.5861,549.274,543.4446
"30","Belgium",1,2.71,581.4068,574.1744,570.4401
"31","Bulgaria",0.2,-1.07,383.8682,368.6433,385.7143
"32","Bulgaria",0.4,-0.57,415.0257,419.51885,424.1794
"33","Bulgaria",0.6,0.05,435.66755,444.7004,448.56395
"34","Bulgaria",0.8,0.78,472.9008,485.6397,486.796
"35","Bulgaria",1,2.88,509.8224,526.4727,526.3335
"36","Brazil",0.2,-2.37,347.5697,368.8816,364.2671
"37","Brazil",0.4,-1.6,360.77275,382.5095,375.3637
"38","Brazil",0.6,-0.99,375.2999,398.5484,391.6822
"39","Brazil",0.8,-0.15,385.4261,408.9737,402.5923
"40","Brazil",1,2.45,432.51285,451.331,442.5494
"41","Canada",0.2,-0.36,475.3934,483.8977,484.6512
"42","Canada",0.4,0.22,493.3868,502.80175,503.6274
"43","Canada",0.6,0.72,508.30345,514.01525,514.67735
"44","Canada",0.8,1.18,527.6601,531.6713,533.2339
"45","Canada",1,3.13,553.2092,557.1732,558.2245
"46","Switzerland",0.2,-0.65,475.3155,454.63535,456.9564
"47","Switzerland",0.4,-0.14,505.3825,482.7527,489.2204
"48","Switzerland",0.6,0.35,522.0517,503.7554,504.8862
"49","Switzerland",0.8,0.96,541.6031,519.48265,524.1421
"50","Switzerland",1,2.72,570.4237,549.746,554.5878
