country,escs,math,reading,science
Albania,NA,314.0754,426.6165,419.1906
Albania,NA,376.3125,276.0267,444.5543
Albania,NA,442.9117,466.6336,510.8542
Albania,NA,267.417,208.728,224.4871
Albania,NA,333.2373,282.9372,418.8176
Albania,NA,482.4038,311.5324,442.4095
Albania,NA,399.0575,319.3965,346.643
Albania,NA,439.2507,486.9955,534.0731
Albania,NA,366.42,545.946,452.8534
Albania,NA,330.511,367.9284,254.6065
Albania,NA,488.5574,388.5805,475.1399
Albania,NA,328.2521,364.5923,302.7229
Albania,NA,147.6943,61.6513,129.4666
Albania,NA,324.4353,351.4743,326.1283
Albania,NA,279.88,345.6201,311.8612
Albania,NA,439.6401,487.404,481.7605
Albania,NA,432.6297,440.7666,396.2514
Albania,NA,368.3673,268.5602,287.8963
Albania,NA,472.3555,529.0145,466.8407
Albania,NA,564.8154,496.6263,522.8833
Albania,NA,520.9612,422.6068,455.1846
Albania,NA,373.2747,410.7417,402.3126
Albania,NA,336.8204,416.8328,418.3514
Albania,NA,245.5289,269.3551,199.0302
Albania,NA,436.2907,297.4731,317.7359
Albania,NA,274.2717,210.8933,288.8288
Albania,NA,358.6306,337.36,385.994
Albania,NA,333.5488,251.1648,295.3562
Albania,NA,323.5784,363.798,340.9549
Albania,NA,221.6934,282.9882,203.1332
Albania,NA,470.4082,560.8663,462.2715
Albania,NA,529.919,667.3833,557.6651
Albania,NA,419.3099,423.4087,433.0847
Albania,NA,406.2237,325.0101,397.9299
Albania,NA,385.7377,323.8874,369.6755
Albania,NA,404.9774,487.4842,414.7147
Albania,NA,444.3916,433.2727,483.7188
Albania,NA,347.8034,371.5229,389.5375
Albania,NA,363.0706,193.4185,293.4912
Albania,NA,536.0726,533.9392,495.8411
Albania,NA,488.5574,499.5935,393.0809
Albania,NA,424.0614,370.8673,469.9179
United Arab Emirates,0.39,424.1393,442.5935,444.2745
United Arab Emirates,0.9,575.4868,584.7751,583.495
United Arab Emirates,0.59,624.8715,651.656,656.975
United Arab Emirates,0.73,474.5365,482.4679,496.7736
United Arab Emirates,0.63,512.2371,512.6517,592.4468
United Arab Emirates,0.58,674.8793,563.4284,584.9869
United Arab Emirates,0.65,596.3624,612.8282,573.7971
United Arab Emirates,-0.26,393.2155,401.9249,372.7527
United Arab Emirates,0.24,500.1636,434.5558,433.3644
United Arab Emirates,0.59,587.9498,580.8035,580.6975
United Arab Emirates,0.48,498.372,476.59,552.7229
United Arab Emirates,0.04,503.3572,579.3737,498.6386
United Arab Emirates,1.89,516.0539,477.941,485.5837
United Arab Emirates,NA,243.1142,248.5045,231.0145
United Arab Emirates,-0.51,283.3853,205.1193,292.5587
United Arab Emirates,0.33,317.4248,287.0781,285.0988
United Arab Emirates,0.68,551.8071,510.5865,566.3372
United Arab Emirates,1.2,407.0805,451.6372,440.4513
